sku,name,brand,category,unit_price,stock,status
L102-2-01,"Banda Trasera Horse",,"Categoría 1",7.00,2,"En stock"
UT-BOM-STOP,"Bombillo 2 Contacto Para Stop De Moto Universal",,"Categoría 1",2.00,10,"En stock"
UT-BOM-CRUCE,"Bombillo Luces de Cruces",,"Categoría 1",1.00,10,"En stock"
L28-8-01,"Arbol de Leva HJ150",,"Categoría 1",17.00,1,"En stock"
L28-8-01,"Arbol de Leva HJ150",,"Categoría 1",17.00,1,"Agotado"
L28-3-01,"Arbol de Leva GS125",,"Categoría 1",20.00,2,"En stock"
L28-2-01,"Arbol de Leva OWEN 2014",,"Categoría 1",17.00,1,"En stock"
L36-1-03,"Piston Horse 2013 SDT (Horse 150)",,"Categoría 1",4.00,1,"En stock"
L36-1-01,"Piston Horse 2013 +0,25 (Horse 150)",,"Categoría 1",4.00,1,"En stock"
L36-1-02,"Piston Horse 2013 +0,5 (Horse 150)",,"Categoría 1",4.00,1,"En stock"
L36-1-04,"Piston Horse 2013 +0,75 (Horse 150)",,"Categoría 1",4.00,1,"En stock"
L36-4-02,"Piston CG150 0,25",,"Categoría 1",4.00,1,"En stock"
L36-4-03,"Piston CG150 0,50",,"Categoría 1",4.00,1,"En stock"
L36-3-02,"Piston CG200 0,25",,"Categoría 1",12.00,1,"En stock"
L36-3-03,"Piston CG200 0,50",,"Categoría 1",13.00,1,"En stock"
L36-2-01,"Pinton Completo Bera150 SOCIALITAS",,"Categoría 1",13.00,1,"En stock"
UT-CG150-75,"CG150 +75",,"Categoría 1",4.00,1,"En stock"
UT-CG150-25,"CG150 BERA 150 +0,25",,"Categoría 1",4.00,1,"En stock"
UT-BOM-H4,"Bombillo H4 Halogen",,"Categoría 1",4.00,8,"En stock"
UT-BOM-FARO,"Bombillo Faro Delantero Jaguar/tx-200/horse/owen/leon",,"Categoría 1",4.00,10,"En stock"
L81A-1-01,"Disco De Freno Trasero Scooter Bera Runner",,"Categoría 1",12.00,1,"En stock"
L103-3-01,"Pastilla Delantera Jaguar",,"Categoría 1",7.00,1,"En stock"
L103-4-01,"Pastilla Delantera Horse",,"Categoría 1",7.00,1,"Agotado"
L103-5-01,"Pastilla Delantera GH",,"Categoría 1",8.00,1,"En stock"
UT-GN125-CLUTCH,"Disco De Clutch GN 125",,"Categoría 1",8.00,1,"En stock"
L08-2-02,"Disco De Clutch CG 125",,"Categoría 1",7.00,1,"En stock"
L37-03-02,"Anillo 0.25 Owen GS",,"Categoría 1",3.00,1,"En stock"
L37-03-03,"Anillo 0.50 Owen GS",,"Categoría 1",3.00,1,"En stock"
L37-05-02,"Anillo CG200 +0.25",,"Categoría 1",3.00,1,"En stock"
L37-05-03,"Anillo CG200 +0.50",,"Categoría 1",3.00,1,"En stock"
L37-10-02,"Anillo Bera Socialosta 0.25",,"Categoría 1",3.00,1,"En stock"
L37-10-03,"Anillo Bera Socialosta 0.50",,"Categoría 1",3.00,1,"En stock"
UT-AN-HORSE-25,"Anillo Horse +0.25",,"Categoría 1",3.00,1,"En stock"
UT-AN-HORSE-50,"Anillo Horse +0.50",,"Categoría 1",3.00,1,"En stock"
UT-AN-HORSE-25,"Anillo CG150 +0.25",,"Categoría 1",3.00,1,"En stock"
UT-AN-HORSE-50,"Anillo CG150 +0.50",,"Categoría 1",3.00,1,"En stock"
UT-AN-CG150-75,"Anillo CG150 +0.75",,"Categoría 1",5.00,1,"En stock"
UT-DT-EMP-200,"Empacadura DT 200",,"Categoría 1",3.00,1,"Agotado"
L48 A-3-01,"Kit Medio Empacadura Gn",,"Categoría 1",5.00,1,"En stock"
